srno,Tweets,id,len,date,time,source,likes,retweets,location
37,@MumbaiManic We have intimated your concern to Santacruz traffic branch for necessary action.,1.58E+18,93,08-10-2022,11:15:55,Twitter Web App,0,0,necessary
38,@TheAbhimannuy We are sharing your concern with Powai Traffic Division for necessary stringent action.,1.58E+18,102,08-10-2022,11:10:54,Twitter Web App,0,0,powai
39,@knockinghuman We are sharing your concern with Pydhunie Traffic Division for necessary stringent action.,1.58E+18,105,08-10-2022,11:05:55,Twitter Web App,0,0,pydhunie
40,@ShiningKurla Please provide the exact location for necessary action,1.58E+18,68,08-10-2022,10:55:39,Twitter Web App,0,0,necessary
41,@HaritTrivedi7 We have intimated your concern to Pydhunie traffic branch for necessary action.,1.58E+18,94,08-10-2022,10:53:41,Twitter Web App,0,0,necessary
42,@rmk1205 We have intimated your concern to D.B.Marg traffic branch for necessary action.,1.58E+18,88,08-10-2022,10:51:10,Twitter Web App,0,0,necessary
43,@HaritTrivedi7 Mumbai traffic police helpline no 8454999999,1.58E+18,59,08-10-2022,10:48:00,Twitter Web App,0,0,no
44,@JakhaliaRaunak We have forwarded your concern to Malad Traffic Division for necessary action.,1.58E+18,94,08-10-2022,10:40:50,Twitter Web App,0,0,malad
45,@aapkaHassanali We have escalated your request with Pydhunie Traffic Division for necessary action.,1.58E+18,99,08-10-2022,10:34:55,Twitter Web App,2,0,pydhunie
46,@mangal256 We are sharing your concern with Malad Traffic Division for necessary stringent action.,1.58E+18,98,08-10-2022,10:33:29,Twitter Web App,2,0,malad
47,@Deepakt70043984 We are sharing your concern with Wadala Traffic Division for necessary stringent action.,1.58E+18,105,08-10-2022,10:29:43,Twitter Web App,0,0,wadala
48,@dhruvakapadia We have escalated your request with Santacruz Traffic Division for necessary action.,1.58E+18,99,08-10-2022,10:27:25,Twitter Web App,1,0,santacruz
49,@VinodDu44374766 We have requested @ThaneCityPolice traffic division to look into this as they can help the best in their jurisdiction,1.58E+18,134,08-10-2022,10:22:39,Twitter Web App,0,0,their
50,@sakgr555 We have escalated your request with D.N.Nagar Traffic Division for necessary action.,1.58E+18,94,08-10-2022,10:16:47,Twitter Web App,0,0,d.n.nagar
51,@VaruMehul We have requested @ThaneCityPolice traffic division to look into this as they can help the best in their jurisdiction,1.58E+18,128,08-10-2022,10:15:14,Twitter Web App,1,0,their
52,@ImmanuelRajanN1 We have escalated your request with Chembur Traffic Division for necessary action.,1.58E+18,99,08-10-2022,10:09:23,Twitter Web App,0,0,chembur
53,"@SashiShankar @RoadsOfMumbai We have escalated your request with Matunga
 Traffic Division for necessary action.",1.58E+18,112,08-10-2022,10:03:50,Twitter Web App,0,0,"matunga
"
54,@kirtipalsingh01 We have informed concern  Vakola Traffic Division of the necessary action.,1.58E+18,91,08-10-2022,09:57:52,Twitter Web App,1,0,vakola
55,@ramnarayang We are sharing your concern with _Chembur Traffic Division for necessary stringent action.,1.58E+18,103,08-10-2022,09:46:31,Twitter Web App,1,0,_chembur
56,@MeenaSippy3 We have forwarded your concern to Oshiwara Traffic Division for necessary action.,1.58E+18,94,08-10-2022,09:27:16,Twitter Web App,0,0,oshiwara
57,@vinita_israni We have forwarded your concern to Kurla Traffic Division for necessary action.,1.58E+18,93,08-10-2022,09:21:35,Twitter Web App,0,0,kurla
58,@bhumiirparwani We have forwarded your concern to Goregaon Traffic Division for necessary action.,1.58E+18,97,08-10-2022,09:04:24,Twitter Web App,0,0,goregaon
59,@uday_kuruwa We have intimated your concern to Nagpada traffic branch for necessary action.,1.58E+18,91,08-10-2022,08:48:10,Twitter Web App,1,0,necessary
60,@ajay9977 We have forwarded your concern to Samata Nagar Traffic Division for necessary action.,1.58E+18,95,08-10-2022,08:41:17,Twitter Web App,0,0,nagar
61,@ajay9977 We request you that if the address you provided is not sufficient send us the full address,1.58E+18,100,08-10-2022,08:24:14,Twitter Web App,0,0,full
62,@afzalamirshaikh We have intimated your concern to Dindoshi traffic branch for necessary action.,1.58E+18,96,08-10-2022,08:11:58,Twitter Web App,1,0,necessary
63,@brilliansk We have escalated your request with Ghatkopar Traffic Division for necessary action.,1.58E+18,96,08-10-2022,08:07:42,Twitter Web App,0,0,ghatkopar
64,@TVALMGuild We have escalated your request with Samtanagar Traffic Division for necessary action.,1.58E+18,97,08-10-2022,08:03:01,Twitter Web App,5,1,samtanagar
65,@superselector5 We are sharing your concern with Samtanagar Traffic Division for necessary stringent action.,1.58E+18,108,08-10-2022,08:00:13,Twitter Web App,0,0,samtanagar
66,@Optimus3m We request you that if the address you provided is not sufficient send us the full address,1.58E+18,101,08-10-2022,07:59:30,Twitter Web App,0,0,full
67,@superselector5 Dindoshi Traffic Division has been informed for prompt action.,1.58E+18,78,08-10-2022,07:54:59,Twitter Web App,0,0,dindoshi
68,@prabirchetia We have forwarded your concern to Samata Nagar Traffic Division for necessary action.,1.58E+18,99,08-10-2022,07:29:32,Twitter Web App,2,0,nagar
69,@Da1GowaliaTank We are sharing your concern with Tardeo Traffic Division for necessary stringent action.,1.58E+18,104,08-10-2022,07:26:45,Twitter Web App,0,0,tardeo
70,@naveedbarudgar We have intimated your concern to Vakola traffic branch for necessary action.,1.58E+18,93,08-10-2022,07:24:41,Twitter Web App,1,0,necessary
71,@Ravisankar49 We have forwarded your concern to Samata Nagar Traffic Division for necessary action.,1.58E+18,99,08-10-2022,07:21:02,Twitter Web App,0,0,nagar
72,@naveedbarudgar Please provide the exact location for necessary action,1.58E+18,70,08-10-2022,07:15:35,Twitter Web App,0,0,necessary
73,@ZRSoldier1 We have forwarded your concern to Oshiwara Traffic Division for necessary action.,1.58E+18,93,08-10-2022,07:14:33,Twitter Web App,0,0,oshiwara
74,@superselector5 We have forwarded your concern to Sahar Traffic Division for necessary action.,1.58E+18,94,08-10-2022,07:07:00,Twitter Web App,0,0,sahar
75,@superselector5 We are sharing your concern with Jogeshwari Traffic Division for necessary stringent action.,1.58E+18,108,08-10-2022,07:01:56,Twitter Web App,0,0,jogeshwari
76,@anandrajgor We have forwarded your concern to Dahisar Traffic Division for necessary action.,1.58E+18,93,08-10-2022,06:46:29,Twitter Web App,0,0,dahisar
77,@aapaldadar We have escalated your request with Dadar Traffic Division for necessary action.,1.58E+18,92,08-10-2022,06:43:34,Twitter Web App,2,2,dadar
78,@superselector5 We have forwarded your concern to Malad Traffic Division for necessary action.,1.58E+18,94,08-10-2022,06:15:54,Twitter Web App,0,0,malad
79,@Rajkuma49482034 We have escalated your request with Samtanagar Traffic Division for necessary action.,1.58E+18,102,08-10-2022,06:02:53,Twitter Web App,0,1,samtanagar
80,@jambi76 We have escalated your request with Samtanagar Traffic Division for necessary action.,1.58E+18,94,08-10-2022,06:01:18,Twitter Web App,0,0,samtanagar
81,@manishladkani We have intimated your concern to _Goregaon traffic branch for necessary action.,1.58E+18,95,08-10-2022,05:28:17,Twitter Web App,0,0,necessary
82,@BHAGWANKAMBLE20 We have escalated your request with Bandra  Traffic Division for necessary action.,1.58E+18,99,08-10-2022,05:22:16,Twitter Web App,0,0,nan
83,@AnilMakhija4 We have escalated your request with  Chembur Traffic Division for necessary action.,1.58E+18,97,08-10-2022,05:18:07,Twitter Web App,0,0,chembur
84,@Shreyayayayaaa We have intimated your concern to Mankhurd traffic branch for necessary action.,1.58E+18,95,08-10-2022,05:02:01,Twitter Web App,0,0,necessary
85,@bjymm217 We have escalated your request with D.B.Marg Traffic Division for necessary action.,1.58E+18,93,08-10-2022,04:57:22,Twitter Web App,0,0,d.b.marg
86,@arvindpnishar We have escalated your request with TardeoTraffic Division for necessary action.,1.58E+18,95,08-10-2022,04:51:21,Twitter Web App,0,0,with
87,@MEHULS13515704 Chembur Traffic Division has been informed for prompt action.,1.58E+18,77,08-10-2022,04:09:47,Twitter Web App,3,0,chembur
88,@Dharmen94685958 We request you to file a grievance on the #Mumtrafficapp for a swift resolution.,1.58E+18,97,08-10-2022,03:48:48,Twitter Web App,0,0,swift
89,@NikhilCDesai1 Matunga Traffic Division has been informed for prompt action.,1.58E+18,76,08-10-2022,03:40:56,Twitter Web App,0,0,matunga
90,@ImmanuelRajanN1 Chembur Traffic Division has been informed for prompt action.,1.58E+18,78,08-10-2022,03:06:05,Twitter Web App,0,0,chembur
91,@BankiMistry Sahar Traffic Division has been informed for prompt action.,1.58E+18,72,08-10-2022,02:46:07,Twitter Web App,2,1,sahar
92,@BankiMistry We request you that if the address you provided is not sufficient send us the full address,1.58E+18,103,08-10-2022,02:35:08,Twitter Web App,4,1,full
93,@ambika_poojari We are sharing your concern with Kandivali Traffic Division for necessary stringent action.,1.58E+18,107,08-10-2022,01:40:09,Twitter Web App,0,0,kandivali
94,@TVALMGuild We have informed Samta Nagar Traffic Division of the necessary action.,1.58E+18,82,07-10-2022,16:56:31,Twitter Web App,6,1,nagar
95,@SharpcutM We have informed concern Traffic Division of the necessary action.,1.58E+18,77,07-10-2022,16:47:05,Twitter Web App,0,0,concern
96,@arshadq35268923 We have escalated your request to Azad Maidan Traffic Division for necessary action.,1.58E+18,101,07-10-2022,16:39:57,Twitter Web App,1,0,maidan
97,@nadeem_ghaznavi We have escalated your request with Dahisar Traffic Division for necessary action.,1.58E+18,99,07-10-2022,15:42:14,Twitter Web App,0,0,dahisar
98,@gopigupt We have requested @ThaneCityPolice traffic division to look into this as they can help the best in their jurisdiction,1.58E+18,127,07-10-2022,15:29:35,Twitter Web App,0,0,their
99,@NasirSh86042113 We are sharing your concern with the Goregaon Traffic Division for necessary stringent action.,1.58E+18,111,07-10-2022,15:08:36,Twitter Web App,0,0,goregaon
100,@sheroobhai We are sharing your concern with Sahar Traffic Division for necessary stringent action.,1.58E+18,99,07-10-2022,15:02:42,Twitter Web App,0,1,sahar
101,@Shiva_Nadar1977 We have forwarded your concern to Dharavi Traffic Division for necessary action.,1.58E+18,97,07-10-2022,14:54:22,Twitter Web App,1,0,dharavi
102,@rizwanjanasheen We have escalated your request with Jogeshwari Traffic Division for necessary action.,1.58E+18,102,07-10-2022,14:50:24,Twitter Web App,1,0,jogeshwari
103,@VK_Andheri We have informed concern Traffic Division of the necessary action.,1.58E+18,78,07-10-2022,14:34:18,Twitter Web App,0,0,concern
104,@devi_pai We have escalated your request with Sahar Traffic Division for necessary action,1.58E+18,89,07-10-2022,14:30:11,Twitter Web App,0,0,sahar
105,@Suthar1Nehansh We request you to file a grievance on the #Mumtrafficapp for a swift resolution,1.58E+18,95,07-10-2022,14:26:12,Twitter Web App,0,0,swift
106,@devi_pai We request you that if the address you provided is not sufficient send us the full address,1.58E+18,100,07-10-2022,14:23:10,Twitter Web App,0,0,full
107,@Lijo_Mathai We are sharing your concern with Samtanagar Traffic Division for necessary stringent action,1.58E+18,104,07-10-2022,14:19:33,Twitter Web App,0,0,samtanagar
108,@Lijo_Mathai We request you that if the address you provided is not sufficient send us the full address,1.58E+18,103,07-10-2022,14:10:14,Twitter Web App,3,1,full
109,@saurabh123 We have informed concern Traffic Division of the necessary action.,1.58E+18,78,07-10-2022,14:06:30,Twitter Web App,2,0,concern
110,@afzalamirshaikh We have forwarded your concern to Samtanagar Traffic Division for necessary action.,1.58E+18,100,07-10-2022,13:59:31,Twitter Web App,1,0,samtanagar
111,@HardikS46585437 We are sharing your concern with BKC  Traffic Division for necessary stringent action.,1.58E+18,103,07-10-2022,13:57:19,Twitter Web App,1,0,nan
112,@normally_crazy We have escalated your request with Powai Traffic Division for necessary action.,1.58E+18,96,07-10-2022,13:44:52,Twitter Web App,1,0,powai
113,@ChiragGopanii We have escalated your request with Bandra Traffic Division for necessary action.,1.58E+18,96,07-10-2022,13:41:58,Twitter Web App,2,0,bandra
114,@deshmuk01368883 We have intimated your concern to Sahar traffic branch for necessary action.,1.58E+18,93,07-10-2022,13:23:15,Twitter Web App,0,0,necessary
115,@yoynwa97 Request you to report the matter at nearest police station where the incident occurred.,1.58E+18,97,07-10-2022,13:16:49,Twitter Web App,0,0,incident
116,@Rajkuma49482034 We have forwarded your concern to Samtanagar Traffic Division for necessary action.,1.58E+18,100,07-10-2022,13:03:26,Twitter Web App,0,0,samtanagar
117,@SiddharthBadi2 We have forwarded your concern to BKC Traffic Division for necessary action.,1.58E+18,92,07-10-2022,12:56:19,Twitter Web App,2,0,bkc
118,@SiddharthBadi2 We have intimated your concern to Bkc traffic branch for necessary action.,1.58E+18,90,07-10-2022,12:55:42,Twitter Web App,2,0,necessary
119,@Naseem9628 We have intimated your concern to Sahar traffic branch for necessary action.,1.58E+18,88,07-10-2022,12:53:17,Twitter Web App,0,0,necessary
120,@VK_Andheri We are sharing your concern with D N Nagar Traffic Division for necessary stringent action.,1.58E+18,103,07-10-2022,12:51:58,Twitter Web App,0,0,nagar
121,@HanmantBhosale6 We have forwarded your concern to BKC Traffic Division for necessary action.,1.58E+18,93,07-10-2022,12:41:11,Twitter Web App,0,0,bkc
122,@NikhilCDesai1 We have escalated your request with Matunga Traffic Division for necessary action.,1.58E+18,97,07-10-2022,12:34:08,Twitter Web App,0,0,matunga
123,@PrathzPimputkar . We have informed concern Traffic Division of the necessary action.,1.58E+18,85,07-10-2022,12:30:56,Twitter Web App,1,0,concern
124,@ImmanuelRajanN1 We are sharing your concern with Chembur Traffic Division for necessary stringent action.,1.58E+18,106,07-10-2022,12:27:36,Twitter Web App,0,0,chembur
125,@MhadkarDs We have informed concern Traffic Division of the necessary action.,1.58E+18,77,07-10-2022,12:26:09,Twitter Web App,0,0,concern
126,@VIRENINFRA We have intimated your concern to Santacruz traffic branch for necessary action.,1.58E+18,92,07-10-2022,12:07:45,Twitter Web App,5,0,necessary
127,@d22cf3321f22465 We have intimated your concern to D N nagar traffic branch for necessary action.,1.58E+18,97,07-10-2022,12:01:03,Twitter Web App,1,0,necessary
128,@sha13353446 We have forwarded your concern to Santacruz Traffic Division for necessary action.,1.58E+18,95,07-10-2022,11:34:48,Twitter Web App,0,0,santacruz
129,@mallanair We have intimated your concerned traffic branch for necessary action.,1.58E+18,80,07-10-2022,11:30:35,Twitter Web App,0,0,necessary
130,@123456Tandel We are sharing your concern with D N Nagar Traffic Division for necessary stringent action,1.58E+18,104,07-10-2022,11:26:16,Twitter Web App,1,0,nagar
131,@123456Tandel We have forwarded your concern to D N Nagar Traffic Division for necessary action,1.58E+18,95,07-10-2022,11:22:47,Twitter Web App,0,0,nagar
132,@123456Tandel We have escalated your request with D N nagar Traffic Division for necessary action.,1.58E+18,98,07-10-2022,11:20:54,Twitter Web App,0,0,nagar
133,@superselector5 We have informed concern Traffic Division of the necessary action.,1.58E+18,82,07-10-2022,11:16:28,Twitter Web App,0,0,concern
134,@123456Tandel We are sharing your concern with D N Nagar Traffic Division for necessary stringent action.,1.58E+18,105,07-10-2022,11:13:09,Twitter Web App,0,0,nagar
135,@AlimShaikhAimim We are sharing your concern with Tardev Traffic Division for necessary stringent action.,1.58E+18,105,07-10-2022,10:42:39,Twitter Web App,1,1,tardev
136,@superselector5 We have intimated your concern to Vakola  traffic branch for necessary action.,1.58E+18,94,07-10-2022,10:37:22,Twitter Web App,0,0,necessary
137,@RomilShukla We request you that if the address you provided is not sufficient send us the full address.,1.58E+18,104,07-10-2022,10:35:10,Twitter Web App,0,0,full
138,@superselector5 We have intimated your concern to Jogeshwari traffic branch for necessary action.,1.58E+18,97,07-10-2022,10:25:46,Twitter Web App,0,0,necessary
139,@casuchitshah We request you to file a grievance on the #Mumtrafficapp for a swift resolution.,1.58E+18,94,07-10-2022,10:25:34,Twitter Web App,6,1,swift
140,@MOHDJAV62572544 We request you to file a grievance on the Mumtrafficapp for a swift resolution.,1.58E+18,96,07-10-2022,10:23:33,Twitter Web App,0,0,swift
141,@MOHDJAV62572544 We request you to file a grievance on the #Mumtrafficapp for a swift resolution,1.58E+18,96,07-10-2022,10:22:10,Twitter Web App,0,0,swift
142,@yjaisingh554 We have forwarded your concern to Chembur Traffic Division for necessary action.,1.58E+18,94,07-10-2022,10:21:40,Twitter Web App,0,1,chembur
143,@MohdYusufSHAMS5 We have escalated your request with kurla Traffic Division for necessary action.,1.58E+18,97,07-10-2022,09:55:06,Twitter Web App,0,0,kurla
144,@bhavinmehtak We request you that if the address you provided is not sufficient send us the full address,1.58E+18,104,07-10-2022,09:41:20,Twitter Web App,0,0,full
145,@puranik_shetty We request you to file a grievance on the #Mumtrafficapp for a swift resolution.,1.58E+18,96,07-10-2022,09:37:28,Twitter Web App,0,0,swift
146,@rolster20 We are sharing your concern with Mahim Traffic Division for necessary stringent action.,1.58E+18,98,07-10-2022,09:27:45,Twitter Web App,0,0,mahim
147,@BetterMumbai2 We have escalated your request with Borivali Traffic Division for necessary action.,1.58E+18,98,07-10-2022,09:19:17,Twitter Web App,0,0,borivali
148,@samir_mmn96 We have forwarded your concern to Bandra Traffic Division for necessary action.,1.58E+18,92,07-10-2022,09:16:39,Twitter Web App,0,0,bandra
149,@aapaldadar We have forwarded your concern to Dadar Traffic Division for necessary action.,1.58E+18,90,07-10-2022,09:10:21,Twitter Web App,1,1,dadar
150,@aapaldadar Please provide the exact location for necessary action,1.58E+18,66,07-10-2022,09:00:43,Twitter Web App,1,1,necessary
151,@MaldeNimish We have intimated your concern to Wadala traffic branch for necessary action.,1.58E+18,90,07-10-2022,08:53:24,Twitter Web App,0,0,necessary
152,@nagarkaustubh We request you to file a grievance on the #Mumtrafficapp for a swift resolution.,1.58E+18,95,07-10-2022,08:35:15,Twitter Web App,0,0,swift
153,@mnblkjpoivcxz We have forwarded your concern to Chembur Traffic Division for necessary action.,1.58E+18,95,07-10-2022,08:07:59,Twitter Web App,2,0,chembur
154,@Umeroxx Please provide the exact location for necessary action,1.58E+18,63,07-10-2022,07:57:58,Twitter Web App,0,0,necessary
155,@aapaldadar We are sharing your concern with Dadar Traffic Division for necessary stringent action,1.58E+18,98,07-10-2022,07:54:22,Twitter Web App,0,0,dadar
156,@tweetsvirat We have forwarded your concern to Dahisar Traffic Division for necessary action.,1.58E+18,93,07-10-2022,07:40:20,Twitter Web App,9,0,dahisar
157,@aapaldadar We request you that if the address you provided is not sufficient send us the full address,1.58E+18,102,07-10-2022,07:25:31,Twitter Web App,0,0,full
158,@shahkaran79 We are sharing your concern with Tardeo Traffic Division for necessary stringent action.,1.58E+18,101,07-10-2022,07:21:44,Twitter Web App,0,0,tardeo
159,@Jigneshbari95 We are sharing your concern with Dahisar Traffic Division for necessary stringent action.,1.58E+18,104,07-10-2022,07:08:36,Twitter Web App,0,1,dahisar
160,@MumbaiManic We have informed concern Traffic Division of the necessary action.,1.58E+18,79,07-10-2022,07:06:31,Twitter Web App,0,0,concern
161,@SachinBHILARE6 We have intimated your concern to Goregaon/Malad traffic branch for necessary action.,1.58E+18,101,07-10-2022,07:04:01,Twitter Web App,3,0,necessary
162,@KuturAbhishek We request you file a grievance on the #Mumtrafficapp for a swift resolution.,1.58E+18,92,07-10-2022,07:03:11,Twitter Web App,0,0,swift
163,@DivechaNaheed We have intimated your concern to the traffic branch for necessary action.,1.58E+18,89,07-10-2022,06:58:48,Twitter Web App,1,0,necessary
164,@Prashan98678133 We have escalated your request with Dindoshi Traffic Division for necessary action.,1.58E+18,100,07-10-2022,06:56:39,Twitter Web App,0,0,dindoshi
165,@advsiddharthss We are sharing your concern with Matunga Traffic Division for necessary stringent action.,1.58E+18,105,07-10-2022,06:53:04,Twitter Web App,0,1,matunga
166,@Pandemic_trader We have informed the concern Traffic Division of the necessary action.,1.58E+18,87,07-10-2022,06:40:39,Twitter Web App,3,0,concern
167,@ZahidFKhambatti We have escalated your request with Jogeshwari/MIDC Traffic Division for necessary action.,1.58E+18,107,07-10-2022,06:40:10,Twitter Web App,0,0,jogeshwari/midc
168,@drushticone We have escalated your request with Borivali Traffic Division for necessary action.,1.58E+18,96,07-10-2022,06:35:15,Twitter Web App,0,0,borivali
169,@krish15136860 We request you to file a grievance on the #Mumtrafficapp for a swift resolution.,1.58E+18,95,07-10-2022,06:33:17,Twitter Web App,0,0,swift
170,@ChetanR71663413 We have escalated your request with Bandra Traffic Division for necessary action.,1.58E+18,98,07-10-2022,06:28:45,Twitter Web App,4,0,bandra
171,@Luftstretkrafte We have intimated your concern to Chembur traffic branch for necessary action.,1.58E+18,95,07-10-2022,05:58:54,Twitter Web App,0,0,necessary
172,@Luftstretkrafte Chembur Traffic Division has been informed for prompt action.,1.58E+18,78,07-10-2022,05:54:38,Twitter Web App,0,0,chembur
173,@DivechaNaheed Please provide the exact location for necessary action.,1.58E+18,70,07-10-2022,05:54:03,Twitter Web App,0,0,necessary
174,@Luftstretkrafte We have forwarded your concern to Chembur Traffic Division for necessary action.,1.58E+18,97,07-10-2022,05:50:57,Twitter Web App,0,0,chembur
175,@Luftstretkrafte We have escalated your request with Chembur Traffic Division for necessary action.,1.58E+18,99,07-10-2022,05:50:03,Twitter Web App,0,0,chembur
176,@Luftstretkrafte We are sharing your concern with Chembur Traffic Division for necessary stringent action.,1.58E+18,106,07-10-2022,05:40:55,Twitter Web App,0,0,chembur
177,@VinodDu44374766 Please provide the exact location for necessary action,1.58E+18,71,07-10-2022,05:35:08,Twitter Web App,0,0,necessary
178,@AlimShaikhAimim We request you that if the address you provided is not sufficient send us the full address.,1.58E+18,108,07-10-2022,05:24:16,Twitter Web App,0,0,full
179,@iamar1012 We have informed the Sakinaka Traffic Division to take further action.,1.58E+18,81,07-10-2022,05:00:06,Twitter Web App,0,0,sakinaka
180,@Prakash04380729 We have forwarded your concern to Dadar Traffic Division for necessary action.,1.58E+18,95,07-10-2022,04:51:01,Twitter Web App,0,0,dadar
181,@casuchitshah Pls Contact - 8448448960.,1.58E+18,39,07-10-2022,04:49:53,Twitter Web App,4,1,-
182,@amitsurg We have escalated your request with Chembur Traffic Division for necessary action.,1.58E+18,92,07-10-2022,04:46:22,Twitter Web App,24,1,chembur
183,@anuradhapanvel We have intimated your concern to Kurla traffic branch for necessary action.,1.58E+18,92,07-10-2022,04:43:32,Twitter Web App,1,0,necessary
184,@Bhartiy19273132 We are sharing your concern with Jogeshwari Traffic Division for necessary stringent action.,1.58E+18,109,07-10-2022,04:41:30,Twitter Web App,0,0,jogeshwari
